| end of split   1 /  3 | epoch  40 | time:  0.95s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0012
| end of split   2 /  3 | epoch  40 | time:  2.93s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0012
| end of split   3 /  3 | epoch  40 | time:  7.94s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0012
| end of split   1 /  3 | epoch  41 | time:  7.99s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0012
| end of split   2 /  3 | epoch  41 | time:  0.89s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0012
| end of split   3 /  3 | epoch  41 | time:  2.92s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0003
| end of split   1 /  3 | epoch  42 | time:  0.95s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0003
| end of split   2 /  3 | epoch  42 | time:  2.92s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0003
| end of split   3 /  3 | epoch  42 | time:  7.89s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0003
| end of split   1 /  3 | epoch  43 | time:  8.00s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0003
| end of split   2 /  3 | epoch  43 | time:  2.92s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0003
| end of split   3 /  3 | epoch  43 | time:  0.89s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0003
| end of split   1 /  3 | epoch  44 | time:  0.89s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0003
| end of split   2 /  3 | epoch  44 | time:  7.88s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0003
| end of split   3 /  3 | epoch  44 | time:  2.92s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0003
| end of split   1 /  3 | epoch  45 | time:  0.89s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0003
| end of split   2 /  3 | epoch  45 | time:  2.91s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0001
| end of split   3 /  3 | epoch  45 | time:  7.88s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0001
| end of split   1 /  3 | epoch  46 | time:  7.89s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0001
| end of split   2 /  3 | epoch  46 | time:  0.90s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0001
| end of split   3 /  3 | epoch  46 | time:  2.92s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0001
| end of split   1 /  3 | epoch  47 | time:  7.97s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0001
| end of split   2 /  3 | epoch  47 | time:  2.91s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0001
| end of split   3 /  3 | epoch  47 | time:  0.89s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0001
| end of split   1 /  3 | epoch  48 | time:  7.95s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0001
| end of split   2 /  3 | epoch  48 | time:  0.89s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0001
| end of split   3 /  3 | epoch  48 | time:  2.91s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0001
| end of split   1 /  3 | epoch  49 | time:  2.92s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  49 | time:  7.86s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  49 | time:  0.89s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  50 | time:  0.90s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  50 | time:  7.86s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   3 /  3 | epoch  50 | time:  2.91s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   1 /  3 | epoch  51 | time:  2.91s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
| end of split   2 /  3 | epoch  51 | time:  0.89s | valid loss  1.25 | valid ppl     3.50 | learning rate 0.0000
