| end of split   1 /  1 | epoch 185 | time:  0.54s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0003
| end of split   1 /  1 | epoch 186 | time:  0.54s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0003
| end of split   1 /  1 | epoch 187 | time:  0.54s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0003
| end of split   1 /  1 | epoch 188 | time:  0.54s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0003
| end of split   1 /  1 | epoch 189 | time:  0.54s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0003
| end of split   1 /  1 | epoch 190 | time:  0.60s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0003
| end of split   1 /  1 | epoch 191 | time:  0.60s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0003
| end of split   1 /  1 | epoch 192 | time:  0.70s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0001
| end of split   1 /  1 | epoch 193 | time:  0.66s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0001
| end of split   1 /  1 | epoch 194 | time:  0.65s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0001
| end of split   1 /  1 | epoch 195 | time:  0.65s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0001
| end of split   1 /  1 | epoch 196 | time:  0.65s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0001
| end of split   1 /  1 | epoch 197 | time:  0.65s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0001
| end of split   1 /  1 | epoch 198 | time:  0.60s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0001
| end of split   1 /  1 | epoch 199 | time:  0.54s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0001
| end of split   1 /  1 | epoch 200 | time:  0.54s | valid loss  1.71 | valid ppl     5.54 | learning rate 0.0001
TEST: valid loss  1.58 | valid ppl     4.87
