EPOCH	TIMESTAMP	BAD_EPOCHS	LEARNING_RATE	TRAIN_LOSS	TRAIN_PRECISION	TRAIN_RECALL	TRAIN_F1	TRAIN_ACCURACY	DEV_LOSS	DEV_PRECISION	DEV_RECALL	DEV_F1	DEV_ACCURACY	TEST_LOSS	TEST_PRECISION	TEST_RECALL	TEST_F1	TEST_ACCURACY
72	18:02:19	1	0.0312	0.8238613823063267	0.7732	0.7732	0.7732	0.7732	0.7966747879981995	0.7455	0.7455	0.7455	0.7455	0.7426912784576416	0.7548	0.7548	0.7548	0.7548
73	18:02:23	2	0.0312	0.8226673297566444	0.779	0.779	0.779	0.779	0.7872512340545654	0.7455	0.7455	0.7455	0.7455	0.7366337776184082	0.757	0.757	0.757	0.757
74	18:02:28	3	0.0312	0.8119479132036791	0.7741	0.7741	0.7741	0.7741	0.7830020785331726	0.7398	0.7398	0.7398	0.7398	0.7356114983558655	0.7441	0.7441	0.7441	0.7441
75	18:02:33	4	0.0312	0.8200644400666509	0.7757	0.7757	0.7757	0.7757	0.7877838015556335	0.7426	0.7426	0.7426	0.7426	0.7300499081611633	0.7516	0.7516	0.7516	0.7516
76	18:02:37	1	0.0156	0.7990642051606596	0.7797	0.7797	0.7797	0.7797	0.7781561613082886	0.7455	0.7455	0.7455	0.7455	0.7215029001235962	0.7634	0.7634	0.7634	0.7634
77	18:02:41	2	0.0156	0.804844290370355	0.7781	0.7781	0.7781	0.7781	0.7809509634971619	0.7388	0.7388	0.7388	0.7388	0.7234848141670227	0.7591	0.7591	0.7591	0.7591
78	18:02:46	0	0.0156	0.8098003017705101	0.7813	0.7813	0.7813	0.7813	0.7782102823257446	0.7521	0.7521	0.7521	0.7521	0.7199934720993042	0.7505	0.7505	0.7505	0.7505
79	18:03:02	1	0.0156	0.8112013688324191	0.781	0.781	0.781	0.781	0.7757461667060852	0.7483	0.7483	0.7483	0.7483	0.7243778705596924	0.7527	0.7527	0.7527	0.7527
80	18:03:06	0	0.0156	0.8026510847375748	0.7837	0.7837	0.7837	0.7837	0.7713391184806824	0.7531	0.7531	0.7531	0.7531	0.7161251306533813	0.7634	0.7634	0.7634	0.7634
81	18:03:26	1	0.0156	0.8045616727066942	0.7859	0.7859	0.7859	0.7859	0.776322066783905	0.7531	0.7531	0.7531	0.7531	0.7172763347625732	0.7591	0.7591	0.7591	0.7591
82	18:03:31	2	0.0156	0.7964951661743452	0.7843	0.7843	0.7843	0.7843	0.7737901210784912	0.7502	0.7502	0.7502	0.7502	0.7169612050056458	0.7516	0.7516	0.7516	0.7516
83	18:03:36	3	0.0156	0.8062646058716109	0.7855	0.7855	0.7855	0.7855	0.7733956575393677	0.7502	0.7502	0.7502	0.7502	0.7148295044898987	0.757	0.757	0.757	0.757
84	18:03:40	0	0.0156	0.8027478121132997	0.7848	0.7848	0.7848	0.7848	0.7640652060508728	0.7531	0.7531	0.7531	0.7531	0.7132050395011902	0.7634	0.7634	0.7634	0.7634
85	18:03:45	0	0.0156	0.7980801521463597	0.7861	0.7861	0.7861	0.7861	0.7669289112091064	0.7569	0.7569	0.7569	0.7569	0.712986171245575	0.7591	0.7591	0.7591	0.7591
86	18:03:57	1	0.0156	0.7994738982360695	0.7865	0.7865	0.7865	0.7865	0.7619240880012512	0.7531	0.7531	0.7531	0.7531	0.7092787623405457	0.7591	0.7591	0.7591	0.7591
87	18:04:01	2	0.0156	0.8038935217169724	0.7875	0.7875	0.7875	0.7875	0.7686941623687744	0.7569	0.7569	0.7569	0.7569	0.7098680138587952	0.7559	0.7559	0.7559	0.7559
88	18:04:06	0	0.0156	0.7859232007470819	0.7898	0.7898	0.7898	0.7898	0.7615803480148315	0.7569	0.7569	0.7569	0.7569	0.7052200436592102	0.7613	0.7613	0.7613	0.7613
89	18:04:10	1	0.0156	0.7996879469418356	0.7878	0.7878	0.7878	0.7878	0.7697267532348633	0.7474	0.7474	0.7474	0.7474	0.7096256017684937	0.7505	0.7505	0.7505	0.7505
90	18:04:15	2	0.0156	0.7990141451499705	0.7904	0.7904	0.7904	0.7904	0.7657411098480225	0.754	0.754	0.754	0.754	0.7077488303184509	0.7548	0.7548	0.7548	0.7548
